date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:31	685/685	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/hp-logo.svg	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/hp-logo.svg	(from https://printservices.site/setup/)
20:04:32	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:33%20GMT	https://printservices.site/setup/officejet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/officejet.html	(from https://printservices.site/setup/)
20:04:32	42821/42821	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:33%20GMT	https://printservices.site/setup/deskjet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/deskjet.html	(from https://printservices.site/setup/)
20:04:33	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/envy.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/envy.html	(from https://printservices.site/setup/)
20:04:33	43327/43327	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/laserjet.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/laserjet.html	(from https://printservices.site/setup/)
20:04:33	42185/42185	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:34:34%20GMT	https://printservices.site/setup/downloading.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/downloading.html	(from https://printservices.site/setup/)
20:04:34	29001/29001	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_3M_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_3M_printer.png	(from https://printservices.site/setup/)
20:04:34	242043/242043	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/defaultPrinterSetup.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/defaultPrinterSetup.png	(from https://printservices.site/setup/)
20:04:35	35012/35012	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_vasari_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_vasari_printer.png	(from https://printservices.site/setup/)
20:04:35	59243/59243	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_horizon_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_horizon_printer.png	(from https://printservices.site/setup/)
20:04:35	63615/63615	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_taccola_printer.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_taccola_printer.png	(from https://printservices.site/setup/)
20:04:36	46523/46523	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/printers_names_box.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/printers_names_box.png	(from https://printservices.site/setup/)
20:04:39	137671/137671	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:40%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplified.woff	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplified.woff	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
20:04:41	137691/137691	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:41%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedLight.woff	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedLight.woff	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
20:04:42	137687/137687	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:43%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedME_Rg.ttf	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedME_Rg.ttf	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
20:04:43	137687/137687	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:44%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedME_Lt.ttf	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPSimplifiedME_Lt.ttf	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
20:04:44	137643/137643	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:45%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPBold.ttf	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/fonts/HPBold.ttf	(from https://printservices.site/setup/resources/assets/css/page/123fontstyles.css)
20:04:46	137691/137691	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:46%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_608.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_608.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:46	502264/502264	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_880.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_880.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:47	502264/502264	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:48	502264/502264	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_1280.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_1280.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:49	137695/137695	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:50%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_2560.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/top_background_image_2560.27.delayed	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:50	137631/137631	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:51%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/Close_btn.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/Close_btn.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:51	137639/137639	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:52%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/flag-sprite.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/flag-sprite.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:53	137635/137635	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:53%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/s-15px-hpe.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/s-15px-hpe.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
